Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
Andalucia;12359;1336.0;2020-05-14;8414240;10.809936078970791;0.14688195249957214;0.01587784517674799
Total;229540;27321.0;2020-05-14;48525383;11.902500653480875;0.47303078473383714;0.05630249224411067
Pais Vasco;13219;1454.0;2020-05-14;2207776;10.999319161812542;0.5987473366863305;0.06585813053498181
Navarra;5105;498.0;2020-05-14;2153389;9.755142017629774;0.2370681748629718;0.02312633713648579
Murcia;1532;142.0;2020-05-14;1493898;9.26892950391645;0.10255050880314452;0.009505334366871098
Melilla;119;2.0;2020-05-14;86487;1.680672268907563;0.13759293304196007;0.0023124862696127743
La Rioja;4014;348.0;2020-05-14;316798;8.66965620328849;1.267053453620288;0.10984917834077235
Galicia;9317;601.0;2020-05-14;2699499;6.45057421916926;0.3451381163690003;0.022263390355025135
Extremadura;2923;492.0;2020-05-14;1067710;16.832021895313034;0.2737634751009169;0.046079928070356185
Ceuta;116;4.0;2020-05-14;84777;3.4482758620689653;0.13682956462248017;0.00471826084905104
Madrid;65693;8779.0;2020-05-14;6663394;13.36367649521258;0.985878967985384;0.1317496759159071
Castilla-Leon;18173;1925.0;2020-05-14;2399548;10.59263742915314;0.7573509677655959;0.08022344208159203
Cataluña;55482;5823.0;2020-05-14;7675217;10.4952957716016;0.7228720699362637;0.07586756179010964
Asturias;2356;308.0;2020-05-14;1022800;13.073005093378608;0.23034806413766132;0.030113414157215485
Baleares;1958;216.0;2020-05-14;1149460;11.031664964249234;0.17034085570615767;0.018791432498738537
Valencia;10784;1349.0;2020-05-14;5003769;12.50927299703264;0.21551754287617994;0.02695967779487822
Aragon;5389;836.0;2020-05-14;1319291;15.51308220449063;0.4084769774068041;0.06336736929153614
Cantabria;2256;205.0;2020-05-14;581078;9.086879432624114;0.38824391906078015;0.03527925682954784
Castilla-La Mancha;16470;2852.0;2020-05-14;2032863;17.316332726168792;0.810187405644158;0.14029474686685722
Canarias;2275;151.0;2020-05-14;2153389;6.637362637362638;0.10564742366567303;0.007012202625721595
Extremadura;2933;494.0;2020-05-15;1067710;16.842823048073644;0.27470005900478595;0.04626724485112999
Total;230183;27459.0;2020-05-15;48525383;11.92920415495497;0.47435586443490824;0.05658687948944164
Pais Vasco;13257;1454.0;2020-05-15;2207776;10.967790601191822;0.6004685257924717;0.06585813053498181
Navarra;5116;500.0;2020-05-15;2153389;9.773260359655982;0.23757899757080583;0.023219213992455613
Murcia;1534;143.0;2020-05-15;1493898;9.322033898305085;0.1026843867519737;0.009572273341285683
Melilla;119;2.0;2020-05-15;86487;1.680672268907563;0.13759293304196007;0.0023124862696127743
La Rioja;4016;348.0;2020-05-15;316798;8.665338645418327;1.267684770737189;0.10984917834077235
Galicia;9323;601.0;2020-05-15;2699499;6.446422825270836;0.34536037983344314;0.022263390355025135
Ceuta;116;4.0;2020-05-15;84777;3.4482758620689653;0.13682956462248017;0.00471826084905104
Madrid;66005;8809.0;2020-05-15;6663394;13.345958639497008;0.9905612665257375;0.13219989692940265
Castilla-Leon;18272;1930.0;2020-05-15;2399548;10.562609457092819;0.7614767447869348;0.08043181465842733
Aragon;5432;837.0;2020-05-15;1319291;15.408689248895435;0.4117363038177324;0.06344316758016237
Asturias;2359;310.0;2020-05-15;1022800;13.141161509114031;0.23064137661321862;0.030308955807587017
Baleares;1967;216.0;2020-05-15;1149460;10.98118962887646;0.1711238320602718;0.018791432498738537
Valencia;10813;1358.0;2020-05-15;5003769;12.558956811245723;0.21609710600149606;0.027139542213079782
Andalucia;12401;1344.0;2020-05-15;8414240;10.837835658414644;0.14738110631500884;0.015972922093974024
Canarias;2280;151.0;2020-05-15;2153389;6.62280701754386;0.1058796158055976;0.007012202625721595
Cantabria;2263;206.0;2020-05-15;581078;9.102960671674769;0.38944857661105736;0.03545135076530173
Castilla-La Mancha;16513;2870.0;2020-05-15;2032863;17.38024586689275;0.8123026490225854;0.14118019758340822
Cataluña;55464;5882.0;2020-05-15;7675217;10.6050771671715;0.7226375488797255;0.07663626969765154
Ceuta;116;4.0;2020-05-16;84777;3.4482758620689653;0.13682956462248017;0.00471826084905104
Pais Vasco;13291;1455.0;2020-05-16;2207776;10.947257542698067;0.6020085370979664;0.06590342498514343
Navarra;5137;501.0;2020-05-16;2153389;9.752773992602686;0.23855420455848897;0.023265652420440524
Murcia;1542;144.0;2020-05-16;1493898;9.33852140077821;0.10321989854729038;0.00963921231570027
Melilla;119;2.0;2020-05-16;86487;1.680672268907563;0.13759293304196007;0.0023124862696127743
Madrid;66210;8826.0;2020-05-16;6663394;13.330312641594926;0.9936377767846236;0.13245502217038344
La Rioja;4020;348.0;2020-05-16;316798;8.656716417910447;1.268947404970991;0.10984917834077235
Galicia;9041;604.0;2020-05-16;2699499;6.680676916270324;0.33491399700462937;0.022374522087246558
