Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
Total;230698;27563.0;2020-05-17;48965550;11.947654509358555;0.47114348761527236;0.05629059614361526
La Rioja;4020;348.0;2020-05-17;319914;8.656716417910447;1.2565877079465106;0.10877923441925018
Pais Vasco;13291;1455.0;2020-05-17;2220504;10.947257542698067;0.5985578048947446;0.06552566444374791
Navarra;5137;501.0;2020-05-17;2175952;9.752773992602686;0.23608057530680823;0.023024404950109194
Murcia;1542;144.0;2020-05-17;1511251;9.33852140077821;0.10203467193735521;0.009528529675083755
Melilla;119;2.0;2020-05-17;87076;1.680672268907563;0.13666222610133677;0.0022968441361569205
Madrid;66210;8826.0;2020-05-17;6779888;13.330312641594926;0.9765648046103417;0.13017914160233915
Galicia;9041;604.0;2020-05-17;2701819;6.680676916270324;0.3346264127981926;0.0223553095155523
Cantabria;2265;206.0;2020-05-17;582905;9.094922737306844;0.38857103644676233;0.03534023554438545
Ceuta;116;4.0;2020-05-17;84202;3.4482758620689653;0.13776394859979574;0.004750480986199852
Castilla-Leon;18369;1940.0;2020-05-17;2394918;10.561271707768523;0.7669991206379508;0.08100486112676927
Castilla-La Mancha;16587;2883.0;2020-05-17;2045221;17.381081569904143;0.811012599616374;0.14096276148152204
Canarias;2284;151.0;2020-05-17;2175952;6.611208406304729;0.10496555071067744;0.00693949131230836
Valencia;10850;1365.0;2020-05-17;5057353;12.580645161290322;0.2145391077110892;0.026990403873330574
Baleares;1982;216.0;2020-05-17;1171543;10.898082744702322;0.1691785960907965;0.018437223388300727
Asturias;2366;313.0;2020-05-17;1018784;13.229078613693998;0.23223764801959984;0.030722901027106824
Andalucia;12420;1355.0;2020-05-17;8464411;10.909822866344605;0.14673200533386196;0.01600820187015966
Extremadura;2958;497.0;2020-05-17;1063987;16.80189317106153;0.2780109155469005;0.0467110970340803
Aragon;5456;838.0;2020-05-17;1329391;15.359237536656892;0.4104134900868142;0.06303638282491758
Cataluña;55685;5915.0;2020-05-17;7780479;10.622250157133879;0.7157014368909678;0.07602359700476025
Galicia;9105;613.0;2020-05-24;2701819;6.732564524986271;0.3369951873163968;0.022688418432174767
Pais Vasco;13476;1494.0;2020-05-24;2220504;11.086375779162957;0.6068892467655992;0.06728202245976589
Navarra;5219;509.0;2020-05-24;2175952;9.752826211917991;0.23984904078766445;0.023392060118973212
Murcia;1579;149.0;2020-05-24;1511251;9.436352121595947;0.10448297470109201;0.009859381399913053
Melilla;121;2.0;2020-05-24;87076;1.6528925619834711;0.13895907023749368;0.0022968441361569205
Madrid;67871;8977.0;2020-05-24;6779888;13.226562154675783;1.0010637343861728;0.13240631703650563
La Rioja;4036;358.0;2020-05-24;319914;8.870168483647175;1.2615890520577404;0.11190507448876885
Extremadura;3047;506.0;2020-05-24;1063987;16.60649819494585;0.28637567940209796;0.04755697203067331
Cantabria;2289;209.0;2020-05-24;582905;9.130624726955002;0.3926883454422247;0.03585489916881825
Cataluña;57148;6701.0;2020-05-24;7780479;11.725694687478127;0.7345049064459913;0.0861258027944038
Castilla-Leon;18789;1961.0;2020-05-24;2394918;10.436957794454202;0.7845362555210659;0.08188171787092502
Castilla-La Mancha;16889;2940.0;2020-05-24;2045221;17.40778021197229;0.8257787300247749;0.14374974635992882
Canarias;2322;157.0;2020-05-24;2175952;6.761412575366064;0.10671191276278154;0.007215232688956374
Valencia;11073;1393.0;2020-05-24;5057353;12.580149914205725;0.2189485290032157;0.02754405318355274
Baleares;2041;222.0;2020-05-24;1171543;10.87702106810387;0.17421468951630456;0.018949368482420192
Asturias;2397;308.0;2020-05-24;1018784;12.849395077179809;0.23528049125231648;0.030232119860539624
Aragon;5646;858.0;2020-05-24;1329391;15.196599362380447;0.42470574872253536;0.0645408311023619
Ceuta;124;4.0;2020-05-24;84202;3.225806451612903;0.14726491057219543;0.004750480986199852
Andalucia;12600;1391.0;2020-05-24;8464411;11.03968253968254;0.148858556135802;0.016433512030547666
Total;235772;28752.0;2020-05-24;48965550;12.19483229560762;0.4815058750488864;0.058718833955709676
Murcia;1597;148.0;2020-05-31;1511251;9.267376330619912;0.10567404091047748;0.009793211054947192
Melilla;121;2.0;2020-05-31;87076;1.6528925619834711;0.13895907023749368;0.0022968441361569205
Madrid;68830;8691.0;2020-05-31;6779888;12.626761586517507;1.0152085108190578;0.1281879582671572
Ceuta;145;4.0;2020-05-31;84202;2.7586206896551726;0.17220493574974466;0.004750480986199852
Cataluña;59013;5587.0;2020-05-31;7780479;9.467405486926609;0.7584751530079318;0.07180791825284794
Castilla-Leon;18863;1924.0;2020-05-31;2394918;10.199862164024811;0.7876261316671385;0.0803367797978887
Castilla-La Mancha;17234;2945.0;2020-05-31;2045221;17.088313798305673;0.8426473227098685;0.1439942187176838
Canarias;2345;151.0;2020-05-31;2175952;6.439232409381663;0.10776892137326559;0.00693949131230836
Valencia;11201;1332.0;2020-05-31;5057353;11.89179537541291;0.22147949727851704;0.02633788861485445
Baleares;2141;209.0;2020-05-31;1171543;9.761793554413826;0.1827504410849623;0.017839720778494685
Asturias;2424;310.0;2020-05-31;1018784;12.788778877887788;0.23793070955177936;0.030428432327166504
Aragon;5691;826.0;2020-05-31;1329391;14.514145141451415;0.4280907573467851;0.06213371385845098
Andalucia;12673;1404.0;2020-05-31;8464411;11.07867119072043;0.14972099062769992;0.016587096255132223
La Rioja;4051;361.0;2020-05-31;319914;8.911379906196;1.2662778121620186;0.11284282650962446
Cantabria;2303;202.0;2020-05-31;582905;8.771168041684758;0.3950901090229111;0.03465401737847505
Extremadura;2966;508.0;2020-05-31;1063987;17.12744436952124;0.2787628044327609;0.04774494425213842
Navarra;5254;490.0;2020-05-31;2175952;9.326227636086792;0.24145753215144453;0.022518879092921166
Total;239479;27127.0;2020-05-31;48965550;11.32750679600299;0.4890765037868461;0.05540017420410881
Pais Vasco;13508;1424.0;2020-05-31;2220504;10.541901095647024;0.6083303610351524;0.06412958499511823
Galicia;9119;609.0;2020-05-31;2701819;6.67836385568593;0.337513356742254;0.022540370024787006
Total;241550;27136.0;2020-06-07;48965550;11.23411302007866;0.4933060079995017;0.05541855447350229
Navarra;5288;490.0;2020-06-07;2175952;9.266263237518912;0.2430200666191166;0.022518879092921166
Murcia;1616;148.0;2020-06-07;1511251;9.158415841584159;0.1069312774648288;0.009793211054947192
Melilla;122;2.0;2020-06-07;87076;1.639344262295082;0.14010749230557215;0.0022968441361569205
Madrid;69641;8691.0;2020-06-07;6779888;12.479717407848824;1.027170360336336;0.1281879582671572
La Rioja;4061;362.0;2020-06-07;319914;8.914060576212755;1.2694036522315373;0.11315541051657634
Galicia;9145;609.0;2020-06-07;2701819;6.659376708583926;0.33847567139027446;0.022540370024787006
Extremadura;2977;508.0;2020-06-07;1063987;17.064158548874705;0.279796651650819;0.04774494425213842
Ceuta;163;4.0;2020-06-07;84202;2.4539877300613497;0.193582100187644;0.004750480986199852
Pais Vasco;13542;1424.0;2020-06-07;2220504;10.515433466253139;0.6098615449465526;0.06412958499511823
Castilla-Leon;19161;1928.0;2020-06-07;2394918;10.062105318094046;0.8000691464175391;0.08050380013010884
Cataluña;59209;5587.0;2020-06-07;7780479;9.436065463020824;0.7609942781157818;0.07180791825284794
Aragon;5781;826.0;2020-06-07;1329391;14.28818543504584;0.4348607745952846;0.06213371385845098
Asturias;2427;314.0;2020-06-07;1018784;12.937783271528636;0.2382251782517197;0.030821057260420264
Baleares;2125;209.0;2020-06-07;1171543;9.83529411764706;0.18138472083397708;0.017839720778494685
Andalucia;12783;1404.0;2020-06-07;8464411;10.983337244778221;0.1510205494511077;0.016587096255132223
Canarias;2369;151.0;2020-06-07;2175952;6.373997467285775;0.10887188687985765;0.00693949131230836
Cantabria;2321;202.0;2020-06-07;582905;8.703145196036191;0.3981780907695079;0.03465401737847505
Castilla-La Mancha;17505;2945.0;2020-06-07;2045221;16.823764638674664;0.8558977245001885;0.1439942187176838
Valencia;11314;1332.0;2020-06-07;5057353;11.773024571327559;0.2237138677090565;0.02633788861485445
Navarra;5311;490.0;2020-06-14;2175952;9.226134437958953;0.24407707522960065;0.022518879092921166
Murcia;1629;148.0;2020-06-14;1511251;9.085328422344997;0.10779149194938498;0.009793211054947192
Galicia;9159;609.0;2020-06-14;2701819;6.6491975106452665;0.33899384081613165;0.022540370024787006
Extremadura;2987;508.0;2020-06-14;1063987;17.00703046534985;0.2807365127581446;0.04774494425213842
Ceuta;163;4.0;2020-06-14;84202;2.4539877300613497;0.193582100187644;0.004750480986199852
Cataluña;59820;5587.0;2020-06-14;7780479;9.339685723838182;0.7688472650591307;0.07180791825284794
Castilla-Leon;19343;1928.0;2020-06-14;2394918;9.967430078064416;0.8076685715335556;0.08050380013010884
Castilla-La Mancha;17803;2945.0;2020-06-14;2045221;16.542155816435432;0.8704682770223854;0.1439942187176838
Cantabria;2334;202.0;2020-06-14;582905;8.654670094258783;0.4004082998087167;0.03465401737847505
Valencia;11404;1332.0;2020-06-14;5057353;11.680112241318836;0.22549345477762775;0.02633788861485445
Baleares;2154;209.0;2020-06-14;1171543;9.702878365831012;0.18386008878888782;0.017839720778494685
Asturias;2437;314.0;2020-06-14;1018784;12.8846942962659;0.2392067405848541;0.030821057260420264
Aragon;5840;826.0;2020-06-14;1329391;14.143835616438356;0.4392988970137454;0.06213371385845098
Andalucia;12827;1404.0;2020-06-14;8464411;10.945661495283387;0.15154037298047082;0.016587096255132223
Melilla;124;2.0;2020-06-14;87076;1.6129032258064515;0.14240433644172906;0.0022968441361569205
Canarias;2378;151.0;2020-06-14;2175952;6.349873843566022;0.10928549894482967;0.00693949131230836
La Rioja;4068;362.0;2020-06-14;319914;8.898721730580137;1.2715917402802004;0.11315541051657634
Pais Vasco;13626;1424.0;2020-06-14;2220504;10.450609129605166;0.6136444699041299;0.06412958499511823
