Comunidad Autónoma;Confirmados;Muertes;Día;Comunidad/Ciudad Autónoma
Asturias;31.0;-5.0;2020-05-24;Principado de Asturias
Baleares;59.0;6.0;2020-05-24;Illes Balears
Valencia;223.0;28.0;2020-05-24;Comunitat Valenciana
Total;5074.0;1189.0;2020-05-24;Total
Canarias;38.0;6.0;2020-05-24;Canarias
Cantabria;24.0;3.0;2020-05-24;Cantabria
Pais Vasco;185.0;39.0;2020-05-24;País Vasco
Castilla-La Mancha;302.0;57.0;2020-05-24;Castilla - La Mancha
Aragon;190.0;20.0;2020-05-24;Aragón
Navarra;82.0;8.0;2020-05-24;Comunidad Foral de Navarra
Cataluña;1463.0;786.0;2020-05-24;Cataluña
Murcia;37.0;5.0;2020-05-24;Región de Murcia
Ceuta;8.0;0.0;2020-05-24;Ceuta
Melilla;2.0;0.0;2020-05-24;Melilla
Andalucia;180.0;36.0;2020-05-24;Andalucía
Galicia;64.0;9.0;2020-05-24;Galicia
Madrid;1661.0;151.0;2020-05-24;Comunidad de Madrid
Castilla-Leon;420.0;21.0;2020-05-24;Castilla y León
Extremadura;89.0;9.0;2020-05-24;Extremadura
La Rioja;16.0;10.0;2020-05-24;La Rioja
Aragon;45.0;-32.0;2020-05-31;Aragón
Baleares;100.0;-13.0;2020-05-31;Illes Balears
Castilla-Leon;74.0;-37.0;2020-05-31;Castilla y León
Ceuta;21.0;0.0;2020-05-31;Ceuta
Navarra;35.0;-19.0;2020-05-31;Comunidad Foral de Navarra
Melilla;0.0;0.0;2020-05-31;Melilla
Valencia;128.0;-61.0;2020-05-31;Comunitat Valenciana
La Rioja;15.0;3.0;2020-05-31;La Rioja
Castilla-La Mancha;345.0;5.0;2020-05-31;Castilla - La Mancha
Cataluña;1865.0;-1114.0;2020-05-31;Cataluña
Andalucia;73.0;13.0;2020-05-31;Andalucía
Murcia;18.0;-1.0;2020-05-31;Región de Murcia
Cantabria;14.0;-7.0;2020-05-31;Cantabria
Pais Vasco;32.0;-70.0;2020-05-31;País Vasco
Galicia;14.0;-4.0;2020-05-31;Galicia
Total;3707.0;-1625.0;2020-05-31;Total
Asturias;27.0;2.0;2020-05-31;Principado de Asturias
Madrid;959.0;-286.0;2020-05-31;Comunidad de Madrid
Extremadura;-81.0;2.0;2020-05-31;Extremadura
Canarias;23.0;-6.0;2020-05-31;Canarias
Cataluña;196.0;0.0;2020-06-07;Cataluña
Castilla-Leon;298.0;4.0;2020-06-07;Castilla y León
Castilla-La Mancha;271.0;0.0;2020-06-07;Castilla - La Mancha
Cantabria;18.0;0.0;2020-06-07;Cantabria
Pais Vasco;34.0;0.0;2020-06-07;País Vasco
Valencia;113.0;0.0;2020-06-07;Comunitat Valenciana
